,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginCityMarketID,Origin,DestCityMarketID,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DivAirportLandings,N-NUMBER,SERIAL NUMBER,MFR MDL CODE,ENG MFR MDL,YEAR MFR,TYPE REGISTRANT,NAME,STREET,STREET2,CITY,STATE,ZIP CODE,REGION,COUNTY,COUNTRY,LAST ACTION DATE,CERT ISSUE DATE,CERTIFICATION,TYPE AIRCRAFT,TYPE ENGINE,STATUS CODE,MODE S CODE,FRACT OWNER,AIR WORTH DATE,OTHER NAMES(1),OTHER NAMES(2),OTHER NAMES(3),OTHER NAMES(4),OTHER NAMES(5),EXPIRATION DATE,UNIQUE ID,KIT MFR, KIT MODEL,MODE S CODE HEX,CODE,MFR,MODEL,TYPE,HORSEPOWER,THRUST,CODE_aircraft,MFR_aircraft,MODEL_aircraft,TYPE-ACFT,TYPE-ENG,AC-CAT,BUILD-CERT-IND,NO-ENG,NO-SEATS,AC-WEIGHT,SPEED,TC-DATA-SHEET,TC-DATA-HOLDER,faa_registration_origin,Origin_DISPLAY_AIRPORT_NAME,Origin_DISPLAY_AIRPORT_CITY_NAME_FULL,Origin_LATITUDE,Origin_LONGITUDE,Dest_DISPLAY_AIRPORT_NAME,Dest_DISPLAY_AIRPORT_CITY_NAME_FULL,Dest_LATITUDE,Dest_LONGITUDE
26,2017,1,1,30,1,2017-01-30 00:00:00,B6,323JB,1583,30721,BOS,34492,RDU,2059,2051,-8,0,0,-1,2000-2059,14,2105,2238,4,2304,2242,-22,0,0,-2,2300-2359,0,,0,125,111,93,1,612,3,0,0,0,0,0,0,323JB,19000384                      ,3260408,30023,2010,3,JETBLUE AIRWAYS CORP                              ,27-01 QUEENS PLAZA NORTH         ,                                 ,LONG ISLAND CITY  ,NY,111014020 ,1,081,US,20230505,20100929,1T        ,5,5,V ,50675077.0, ,20100930,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280430,1059310,                              ,                    ,A37A3F    ,30023,GE        ,CF34-10E6    ,5 ,0.0,18820.0,3260408,EMBRAER                       ,ERJ 190-100 IGW     ,5,5.0,1.0,0.0,2.0,20.0,CLASS 2,0.0,A57NM          ,YABORA INDUSTRIA AERONAUTICA S A                  ,2023.0,Logan International,"Boston, MA",42.36305556,-71.00638889,Raleigh-Durham International,"Raleigh/Durham, NC",35.87777778,-78.7875
27,2021,3,9,6,1,2021-09-06 00:00:00,WN,236WN,279,30693,BNA,31504,VPS,2100,2056,-4,0,0,-1,2100-2159,11,2107,2202,9,2220,2211,-9,0,0,-1,2200-2259,0,,0,80,75,55,1,389,2,0,0,0,0,0,0,236WN,34631                         ,1384404,13802,2006,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20230122,20060531,1T        ,5,5,V ,50420313.0, ,20060421,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270630,191479,                              ,                    ,A220CB    ,13802,CFM INTL. ,CFM56 SERIES ,5 ,2200.0,0.0,1384404,BOEING                        ,737-7H4             ,5,5.0,1.0,0.0,2.0,140.0,CLASS 3,0.0,               ,                                                  ,2023.0,Nashville International,"Nashville, TN",36.12444444,-86.67805556,Eglin AFB Destin Fort Walton Beach,"Valparaiso, FL",30.48333333,-86.52527778
28,2015,2,5,10,7,2015-05-10 00:00:00,AA,787AA,255,31703,JFK,32575,LAX,1000,0955,-5,0,0,-1,1000-1059,25,1020,1248,12,1308,1300,-8,0,0,-1,1300-1359,0,,0,368,365,328,1,2475,10,0,0,0,0,0,0,787AA,81826                         ,05620OB,41819,2016,7,MKPEACHES PROPERTIES LLC                          ,19 KRIS CT                       ,                                 ,NEWARK            ,DE,197026843 ,1,003,US,20230407,20201228,42        ,4,1,V ,52525210.0, ,20160911,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20271231,209629,VANS AIRCRAFT INC             ,RV-8A               ,AAAA88    ,41819,LYCOMING  ,IO-360-A1B   ,1 ,200.0,0.0,05620OB,HANGAR 6 INC                  ,VANS RV-8A-H6-1     ,4,1.0,1.0,1.0,1.0,2.0,CLASS 1,0.0,               ,                                                  ,2023.0,John F. Kennedy International,"New York, NY",40.64,-73.77861111,Los Angeles International,"Los Angeles, CA",33.9425,-118.40805556
29,2015,4,12,23,3,2015-12-23 00:00:00,EV,16178,4614,31703,EWR,30792,BUF,1739,,0,0,0,,1700-1759,0,,,0,1902,,0,0,0,,1900-1959,1,B,0,83,0,0,1,282,2,0,0,0,0,0,0,16178,14500889                      ,3260214,54582,2005,3,UNITED AIRLINES INC                               ,233 S WACKER DR                  ,                                 ,CHICAGO           ,IL,606067147 ,C,031,US,20230122,20200603,1T        ,5,5,V ,50174323.0, ,20050218,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270630,158409,                              ,                    ,A0F8D3    ,54582,ROLLS-ROYC,AE3007 SER   ,5 ,0.0,6442.0,3260214,EMBRAER                       ,EMB-145XR           ,5,5.0,1.0,0.0,2.0,55.0,CLASS 2,0.0,               ,                                                  ,2023.0,Newark Liberty International,"Newark, NJ",40.6925,-74.16861111,Buffalo Niagara International,"Buffalo, NY",42.94055556,-78.73055556
30,2022,1,2,27,7,2022-02-27 00:00:00,AA,864NN,1638,31703,LGA,30977,ORD,1530,1526,-4,0,0,-1,1500-1559,19,1545,1645,10,1707,1655,-12,0,0,-1,1700-1759,0,,0,157,149,120,1,733,3,0,0,0,0,0,0,864NN,31111                         ,13844CB,13074,2010,3,WILMINGTON TRUST CO TRUSTEE                       ,ATTN: CORPORATE TRUST ADMIN      ,1100 N MARKET ST                 ,WILMINGTON        ,DE,198901605 ,1,003,US,20220831,20101213,1T        ,5,5,V ,52757354.0, ,20101207,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20291231,1058638,                              ,                    ,ABDEEC    ,13074,CFM INTL  ,CFM56-7B24/3 ,5 ,0.0,22800.0,13844CB,BOEING                        ,737-823             ,5,5.0,1.0,0.0,2.0,162.0,CLASS 3,0.0,               ,                                                  ,2023.0,LaGuardia,"New York, NY",40.77722222,-73.8725,Chicago O'Hare International,"Chicago, IL",41.97694444,-87.90805556
31,2017,4,10,23,1,2017-10-23 00:00:00,WN,8541W,927,30559,SEA,30325,DEN,1520,1526,6,6,0,0,1500-1559,20,1546,1847,4,1900,1851,-9,0,0,-1,1900-1959,0,,0,160,145,121,1,1024,5,0,0,0,0,0,0,8541W,63599                         ,1384414,13100,2017,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR HDQ-4GC       ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20230304,20170725,1T        ,5,5,V ,52734304.0, ,20170628,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20270731,1232580,                              ,                    ,ABB8C4    ,13100,CFM INTL  ,CFM56-7B27E/F,5 ,0.0,27300.0,1384414,BOEING                        ,737-800             ,5,5.0,1.0,0.0,2.0,189.0,CLASS 3,0.0,A16WE          ,BOEING CO                                         ,2023.0,Seattle/Tacoma International,"Seattle, WA",47.45,-122.31166667,Denver International,"Denver, CO",39.86166667,-104.67305556
32,2021,1,3,21,7,2021-03-21 00:00:00,OO,947SW,5215,32457,SFO,33264,MFR,1110,1108,-2,0,0,-1,1100-1159,11,1119,1223,2,1234,1225,-9,0,0,-1,1200-1259,0,,0,84,77,64,1,329,2,0,0,0,0,0,0,947SW,7786                          ,1390008,30015,2003,3,SKYWEST AIRLINES INC                              ,444 S RIVER RD                   ,                                 ,ST GEORGE         ,UT,847902085 ,S,053,US,20230718,20190201,1T        ,5,5,V ,53224316.0, ,20030417,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20290228,42129,                              ,                    ,AD28CE    ,30015,GE        ,CF34 SERIES  ,5 ,0.0,9140.0,1390008,BOMBARDIER INC                ,CL-600-2B19         ,5,5.0,1.0,0.0,2.0,55.0,CLASS 3,0.0,               ,                                                  ,2023.0,San Francisco International,"San Francisco, CA",37.61888889,-122.37555556,Rogue Valley International - Medford,"Medford, OR",42.375,-122.87333333
33,2016,3,9,29,4,2016-09-29 00:00:00,NK,642NK,869,30194,DFW,32575,LAX,1615,1610,-5,0,0,-1,1600-1659,11,1621,1705,17,1735,1722,-13,0,0,-1,1700-1759,0,,0,200,192,164,1,1235,5,0,0,0,0,0,0,642NK,6586                          ,3940004,34604,2015,3,SPIRIT AIRLINES INC                               ,2800 EXECUTIVE WAY               ,                                 ,MIRAMAR           ,FL,330256542 ,7,011,US,20230512,20150522,1T        ,5,5,V ,52066737.0, ,20150523,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20280531,1176483,                              ,                    ,A86DDF    ,34604,IAE       ,V2527-A5     ,5 ,0.0,24800.0,3940004,AIRBUS                        ,A320-232            ,5,5.0,1.0,0.0,2.0,200.0,CLASS 3,0.0,A28NM          ,AIRBUS SAS                                        ,2023.0,Dallas/Fort Worth International,"Dallas/Fort Worth, TX",32.89722222,-97.03777778,Los Angeles International,"Los Angeles, CA",33.9425,-118.40805556
34,2022,4,12,20,2,2022-12-20 00:00:00,B6,281JB,1067,31703,HPN,34027,PBI,0800,0808,8,8,0,0,0800-0859,9,0817,1100,2,1058,1102,4,4,0,0,1000-1059,0,,0,178,174,163,1,1056,5,0,0,0,0,0,0,281JB,19000103                      ,3260408,30023,2007,3,BANK OF UTAH TRUSTEE                              ,50 SOUTH 200 EAST STE 110        ,                                 ,SALT LAKE CITY    ,UT,84111     ,S,035,US,20230401,20201113,1T        ,5,5,V ,50551174.0, ,20070919,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20271130,413039,                              ,                    ,A2D27C    ,30023,GE        ,CF34-10E6    ,5 ,0.0,18820.0,3260408,EMBRAER                       ,ERJ 190-100 IGW     ,5,5.0,1.0,0.0,2.0,20.0,CLASS 2,0.0,A57NM          ,YABORA INDUSTRIA AERONAUTICA S A                  ,2023.0,Westchester County,"White Plains, NY",41.06694444,-73.7075,Palm Beach International,"West Palm Beach/Palm Beach, FL",26.68305556,-80.09555556
35,2015,1,1,12,1,2015-01-12 00:00:00,WN,940WN,2154,33570,SAN,32457,OAK,0945,0950,5,5,0,0,0900-0959,9,0959,1110,4,1115,1114,-1,0,0,-1,1100-1159,0,,0,90,84,71,1,446,2,0,0,0,0,0,0,940WN,36900                         ,1384404,13074,2009,3,SOUTHWEST AIRLINES CO                             ,2702 LOVE FIELD DR # HDQ-4GC     ,                                 ,DALLAS            ,TX,752351908 ,2,113,US,20230324,20090709,1T        ,5,5,V ,53207451.0, ,20090623,                                                  ,                                                  ,                                                  ,                                                  ,                                                  ,20271031,1026939,                              ,                    ,AD0F29    ,13074,CFM INTL  ,CFM56-7B24/3 ,5 ,0.0,22800.0,1384404,BOEING                        ,737-7H4             ,5,5.0,1.0,0.0,2.0,140.0,CLASS 3,0.0,               ,                                                  ,2023.0,San Diego International,"San Diego, CA",32.73361111,-117.18972222,Metro Oakland International,"Oakland, CA",37.72138889,-122.22111111
